Year,h_name,win_perc,division,had_top3_award_player
2006,ANA,0.549,AL WEST,
2006,ARI,0.469,NL WEST,1
2006,ATL,0.488,NL EAST,
2006,BAL,0.432,AL EAST,
2006,BOS,0.531,AL EAST,1
2006,CHA,0.556,AL CENTRAL,
2006,CHN,0.407,NL CENTRAL,
2006,CIN,0.494,NL CENTRAL,
2006,CLE,0.481,AL CENTRAL,
2006,COL,0.469,NL WEST,
2006,DET,0.586,AL CENTRAL,1
2006,HOU,0.506,NL CENTRAL,1
2006,KCA,0.383,AL CENTRAL,
2006,LAN,0.543,NL WEST,
2006,MIA,0.481,NL EAST,1
2006,MIL,0.463,NL CENTRAL,
2006,MIN,0.593,AL CENTRAL,1
2006,NYA,0.599,AL EAST,1
2006,NYN,0.599,NL EAST,
2006,OAK,0.574,AL WEST,
2006,PHI,0.525,NL EAST,1
2006,PIT,0.414,NL CENTRAL,
2006,SDN,0.543,NL WEST,1
2006,SEA,0.481,AL WEST,
2006,SFN,0.472,NL EAST,
2006,SLN,0.516,NL CENTRAL,1
2006,TBA,0.377,AL EAST,
2006,TEX,0.494,AL WEST,
2006,TOR,0.537,AL EAST,1
2006,WAS,0.438,NL EAST,1
2007,ANA,0.58,AL WEST,1
2007,ARI,0.556,NL WEST,1
2007,ATL,0.519,NL EAST,
2007,BAL,0.426,AL EAST,
2007,BOS,0.593,AL EAST,1
2007,CHA,0.444,AL CENTRAL,
2007,CHN,0.525,NL CENTRAL,
2007,CIN,0.444,NL CENTRAL,
2007,CLE,0.593,AL CENTRAL,1
2007,COL,0.552,NL WEST,1
2007,DET,0.543,AL CENTRAL,1
2007,HOU,0.451,NL CENTRAL,1
2007,KCA,0.426,AL CENTRAL,1
2007,LAN,0.506,NL WEST,1
2007,MIA,0.438,NL EAST,
2007,MIL,0.512,NL CENTRAL,1
2007,MIN,0.488,AL CENTRAL,
2007,NYA,0.58,AL EAST,1
2007,NYN,0.543,NL EAST,
2007,OAK,0.469,AL WEST,
2007,PHI,0.549,NL EAST,1
2007,PIT,0.42,NL CENTRAL,
2007,SDN,0.546,NL WEST,1
2007,SEA,0.543,AL WEST,
2007,SFN,0.438,NL EAST,
2007,SLN,0.481,NL CENTRAL,
2007,TBA,0.407,AL EAST,1
2007,TEX,0.463,AL WEST,
2007,TOR,0.512,AL EAST,
2007,WAS,0.451,NL EAST,
2008,ANA,0.617,AL WEST,1
2008,ARI,0.506,NL WEST,1
2008,ATL,0.444,NL EAST,1
2008,BAL,0.422,AL EAST,
2008,BOS,0.586,AL EAST,1
2008,CHA,0.546,AL CENTRAL,1
2008,CHN,0.602,NL CENTRAL,1
2008,CIN,0.457,NL CENTRAL,1
2008,CLE,0.5,AL CENTRAL,1
2008,COL,0.457,NL WEST,
2008,DET,0.457,AL CENTRAL,
2008,HOU,0.534,NL CENTRAL,
2008,KCA,0.463,AL CENTRAL,
2008,LAN,0.519,NL WEST,
2008,MIA,0.522,NL EAST,
2008,MIL,0.556,NL CENTRAL,1
2008,MIN,0.54,AL CENTRAL,1
2008,NYA,0.549,AL EAST,
2008,NYN,0.549,NL EAST,1
2008,OAK,0.466,AL WEST,
2008,PHI,0.568,NL EAST,1
2008,PIT,0.414,NL CENTRAL,
2008,SDN,0.389,NL WEST,
2008,SEA,0.377,AL WEST,
2008,SFN,0.444,NL EAST,1
2008,SLN,0.531,NL CENTRAL,1
2008,TBA,0.599,AL EAST,1
2008,TEX,0.488,AL WEST,
2008,TOR,0.531,AL EAST,1
2008,WAS,0.366,NL EAST,
2009,ANA,0.599,AL WEST,
2009,ARI,0.432,NL WEST,
2009,ATL,0.531,NL EAST,1
2009,BAL,0.395,AL EAST,
2009,BOS,0.586,AL EAST,
2009,CHA,0.488,AL CENTRAL,
2009,CHN,0.516,NL CENTRAL,
2009,CIN,0.481,NL CENTRAL,
2009,CLE,0.401,AL CENTRAL,
2009,COL,0.568,NL WEST,
2009,DET,0.528,AL CENTRAL,1
2009,HOU,0.457,NL CENTRAL,
2009,KCA,0.401,AL CENTRAL,1
2009,LAN,0.586,NL WEST,
2009,MIA,0.537,NL EAST,1
2009,MIL,0.494,NL CENTRAL,
2009,MIN,0.534,AL CENTRAL,1
2009,NYA,0.636,AL EAST,1
2009,NYN,0.432,NL EAST,
2009,OAK,0.463,AL WEST,1
2009,PHI,0.574,NL EAST,1
2009,PIT,0.385,NL CENTRAL,
2009,SDN,0.463,NL WEST,
2009,SEA,0.525,AL WEST,1
2009,SFN,0.543,NL EAST,1
2009,SLN,0.562,NL CENTRAL,1
2009,TBA,0.519,AL EAST,
2009,TEX,0.537,AL WEST,1
2009,TOR,0.463,AL EAST,
2009,WAS,0.364,NL EAST,
2010,ANA,0.494,AL WEST,
2010,ARI,0.401,NL WEST,
2010,ATL,0.562,NL EAST,1
2010,BAL,0.407,AL EAST,
2010,BOS,0.549,AL EAST,
2010,CHA,0.543,AL CENTRAL,
2010,CHN,0.463,NL CENTRAL,
2010,CIN,0.562,NL CENTRAL,1
2010,CLE,0.426,AL CENTRAL,
2010,COL,0.512,NL WEST,1
2010,DET,0.5,AL CENTRAL,1
2010,HOU,0.469,NL CENTRAL,
2010,KCA,0.414,AL CENTRAL,
2010,LAN,0.494,NL WEST,
2010,MIA,0.494,NL EAST,
2010,MIL,0.475,NL CENTRAL,
2010,MIN,0.58,AL CENTRAL,1
2010,NYA,0.586,AL EAST,1
2010,NYN,0.488,NL EAST,
2010,OAK,0.5,AL WEST,
2010,PHI,0.599,NL EAST,1
2010,PIT,0.352,NL CENTRAL,
2010,SDN,0.556,NL WEST,
2010,SEA,0.377,AL WEST,1
2010,SFN,0.568,NL EAST,1
2010,SLN,0.531,NL CENTRAL,1
2010,TBA,0.593,AL EAST,1
2010,TEX,0.556,AL WEST,1
2010,TOR,0.525,AL EAST,
2010,WAS,0.426,NL EAST,
2011,ANA,0.531,AL WEST,1
2011,ARI,0.58,NL WEST,
2011,ATL,0.549,NL EAST,1
2011,BAL,0.426,AL EAST,
2011,BOS,0.556,AL EAST,1
2011,CHA,0.488,AL CENTRAL,
2011,CHN,0.438,NL CENTRAL,
2011,CIN,0.488,NL CENTRAL,
2011,CLE,0.494,AL CENTRAL,
2011,COL,0.451,NL WEST,
2011,DET,0.586,AL CENTRAL,1
2011,HOU,0.346,NL CENTRAL,
2011,KCA,0.438,AL CENTRAL,1
2011,LAN,0.509,NL WEST,1
2011,MIA,0.444,NL EAST,
2011,MIL,0.593,NL CENTRAL,1
2011,MIN,0.389,AL CENTRAL,
2011,NYA,0.599,AL EAST,
2011,NYN,0.475,NL EAST,
2011,OAK,0.457,AL WEST,
2011,PHI,0.63,NL EAST,1
2011,PIT,0.444,NL CENTRAL,
2011,SDN,0.438,NL WEST,
2011,SEA,0.414,AL WEST,
2011,SFN,0.531,NL EAST,
2011,SLN,0.556,NL CENTRAL,
2011,TBA,0.562,AL EAST,1
2011,TEX,0.593,AL WEST,
2011,TOR,0.5,AL EAST,1
2011,WAS,0.497,NL EAST,
2012,ANA,0.549,AL WEST,1
2012,ARI,0.5,NL WEST,1
2012,ATL,0.58,NL EAST,
2012,BAL,0.574,AL EAST,
2012,BOS,0.426,AL EAST,
2012,CHA,0.525,AL CENTRAL,
2012,CHN,0.377,NL CENTRAL,
2012,CIN,0.599,NL CENTRAL,1
2012,CLE,0.42,AL CENTRAL,
2012,COL,0.395,NL WEST,
2012,DET,0.543,AL CENTRAL,1
2012,HOU,0.34,NL CENTRAL,
2012,KCA,0.444,AL CENTRAL,
2012,LAN,0.531,NL WEST,1
2012,MIA,0.426,NL EAST,
2012,MIL,0.512,NL CENTRAL,1
2012,MIN,0.407,AL CENTRAL,
2012,NYA,0.586,AL EAST,
2012,NYN,0.457,NL EAST,1
2012,OAK,0.58,AL WEST,1
2012,PHI,0.5,NL EAST,
2012,PIT,0.488,NL CENTRAL,1
2012,SDN,0.469,NL WEST,
2012,SEA,0.463,AL WEST,
2012,SFN,0.58,NL EAST,1
2012,SLN,0.543,NL CENTRAL,
2012,TBA,0.556,AL EAST,1
2012,TEX,0.574,AL WEST,1
2012,TOR,0.451,AL EAST,
2012,WAS,0.605,NL EAST,1
2013,ANA,0.481,AL WEST,1
2013,ARI,0.5,NL WEST,1
2013,ATL,0.593,NL EAST,
2013,BAL,0.525,AL EAST,1
2013,BOS,0.599,AL EAST,1
2013,CHA,0.389,AL CENTRAL,
2013,CHN,0.407,NL CENTRAL,
2013,CIN,0.556,NL CENTRAL,
2013,CLE,0.568,AL CENTRAL,
2013,COL,0.457,NL WEST,
2013,DET,0.574,AL CENTRAL,1
2013,HOU,0.315,AL WEST,
2013,KCA,0.531,AL CENTRAL,
2013,LAN,0.568,NL WEST,1
2013,MIA,0.383,NL EAST,1
2013,MIL,0.457,NL CENTRAL,
2013,MIN,0.407,AL CENTRAL,
2013,NYA,0.525,AL EAST,
2013,NYN,0.457,NL EAST,
2013,OAK,0.593,AL WEST,
2013,PHI,0.451,NL EAST,
2013,PIT,0.58,NL CENTRAL,1
2013,SDN,0.469,NL WEST,
2013,SEA,0.438,AL WEST,1
2013,SFN,0.469,NL EAST,
2013,SLN,0.599,NL CENTRAL,1
2013,TBA,0.564,AL EAST,1
2013,TEX,0.558,AL WEST,1
2013,TOR,0.457,AL EAST,
2013,WAS,0.531,NL EAST,
2014,ANA,0.605,AL WEST,1
2014,ARI,0.395,NL WEST,
2014,ATL,0.488,NL EAST,
2014,BAL,0.593,AL EAST,
2014,BOS,0.438,AL EAST,
2014,CHA,0.451,AL CENTRAL,1
2014,CHN,0.451,NL CENTRAL,
2014,CIN,0.469,NL CENTRAL,1
2014,CLE,0.525,AL CENTRAL,1
2014,COL,0.407,NL WEST,
2014,DET,0.556,AL CENTRAL,1
2014,HOU,0.432,AL WEST,
2014,KCA,0.549,AL CENTRAL,
2014,LAN,0.58,NL WEST,1
2014,MIA,0.475,NL EAST,1
2014,MIL,0.506,NL CENTRAL,
2014,MIN,0.432,AL CENTRAL,
2014,NYA,0.519,AL EAST,1
2014,NYN,0.488,NL EAST,1
2014,OAK,0.543,AL WEST,
2014,PHI,0.451,NL EAST,
2014,PIT,0.543,NL CENTRAL,1
2014,SDN,0.475,NL WEST,
2014,SEA,0.537,AL WEST,1
2014,SFN,0.543,NL EAST,
2014,SLN,0.556,NL CENTRAL,1
2014,TBA,0.475,AL EAST,
2014,TEX,0.414,AL WEST,
2014,TOR,0.512,AL EAST,
2014,WAS,0.593,NL EAST,
2015,ANA,0.525,AL WEST,1
2015,ARI,0.488,NL WEST,1
2015,ATL,0.414,NL EAST,
2015,BAL,0.5,AL EAST,
2015,BOS,0.481,AL EAST,
2015,CHA,0.469,AL CENTRAL,
2015,CHN,0.599,NL CENTRAL,1
2015,CIN,0.395,NL CENTRAL,1
2015,CLE,0.503,AL CENTRAL,1
2015,COL,0.42,NL WEST,
2015,DET,0.46,AL CENTRAL,1
2015,HOU,0.531,AL WEST,1
2015,KCA,0.586,AL CENTRAL,1
2015,LAN,0.568,NL WEST,1
2015,MIA,0.438,NL EAST,
2015,MIL,0.42,NL CENTRAL,
2015,MIN,0.512,AL CENTRAL,1
2015,NYA,0.537,AL EAST,
2015,NYN,0.556,NL EAST,
2015,OAK,0.42,AL WEST,1
2015,PHI,0.389,NL EAST,
2015,PIT,0.605,NL CENTRAL,1
2015,SDN,0.457,NL WEST,
2015,SEA,0.469,AL WEST,
2015,SFN,0.519,NL EAST,1
2015,SLN,0.617,NL CENTRAL,
2015,TBA,0.494,AL EAST,
2015,TEX,0.543,AL WEST,
2015,TOR,0.574,AL EAST,1
2015,WAS,0.512,NL EAST,1
2016,ANA,0.457,AL WEST,1
2016,ARI,0.426,NL WEST,
2016,ATL,0.422,NL EAST,
2016,BAL,0.549,AL EAST,
2016,BOS,0.574,AL EAST,1
2016,CHA,0.481,AL CENTRAL,
2016,CHN,0.64,NL CENTRAL,1
2016,CIN,0.42,NL CENTRAL,
2016,CLE,0.584,AL CENTRAL,1
2016,COL,0.463,NL WEST,
2016,DET,0.534,AL CENTRAL,1
2016,HOU,0.519,AL WEST,1
2016,KCA,0.5,AL CENTRAL,
2016,LAN,0.562,NL WEST,1
2016,MIA,0.491,NL EAST,
2016,MIL,0.451,NL CENTRAL,
2016,MIN,0.364,AL CENTRAL,
2016,NYA,0.519,AL EAST,1
2016,NYN,0.537,NL EAST,
2016,OAK,0.426,AL WEST,
2016,PHI,0.438,NL EAST,
2016,PIT,0.484,NL CENTRAL,
2016,SDN,0.42,NL WEST,
2016,SEA,0.531,AL WEST,
2016,SFN,0.537,NL EAST,
2016,SLN,0.531,NL CENTRAL,
2016,TBA,0.42,AL EAST,
2016,TEX,0.586,AL WEST,
2016,TOR,0.549,AL EAST,
2016,WAS,0.586,NL EAST,1