Year,v_name,visitor_had_top3_award_player
2006,ANA,0
2006,ARI,1
2006,ATL,0
2006,BAL,0
2006,BOS,1
2006,CHA,0
2006,CHN,0
2006,CIN,0
2006,CLE,0
2006,COL,0
2006,DET,1
2006,HOU,1
2006,KCA,0
2006,LAN,0
2006,MIA,1
2006,MIL,0
2006,MIN,1
2006,NYA,1
2006,NYN,0
2006,OAK,0
2006,PHI,1
2006,PIT,0
2006,SDN,1
2006,SEA,0
2006,SFN,0
2006,SLN,1
2006,TBA,0
2006,TEX,0
2006,TOR,1
2006,WAS,1
2007,ANA,1
2007,ARI,1
2007,ATL,0
2007,BAL,0
2007,BOS,1
2007,CHA,0
2007,CHN,0
2007,CIN,0
2007,CLE,1
2007,COL,1
2007,DET,1
2007,HOU,1
2007,KCA,1
2007,LAN,1
2007,MIA,0
2007,MIL,1
2007,MIN,0
2007,NYA,1
2007,NYN,0
2007,OAK,0
2007,PHI,1
2007,PIT,0
2007,SDN,1
2007,SEA,0
2007,SFN,0
2007,SLN,0
2007,TBA,1
2007,TEX,0
2007,TOR,0
2007,WAS,0
2008,ANA,1
2008,ARI,1
2008,ATL,1
2008,BAL,0
2008,BOS,1
2008,CHA,1
2008,CHN,1
2008,CIN,1
2008,CLE,1
2008,COL,0
2008,DET,0
2008,HOU,0
2008,KCA,0
2008,LAN,0
2008,MIA,0
2008,MIL,1
2008,MIN,1
2008,NYA,0
2008,NYN,1
2008,OAK,0
2008,PHI,1
2008,PIT,0
2008,SDN,0
2008,SEA,0
2008,SFN,1
2008,SLN,1
2008,TBA,1
2008,TEX,0
2008,TOR,1
2008,WAS,0
2009,ANA,0
2009,ARI,0
2009,ATL,1
2009,BAL,0
2009,BOS,0
2009,CHA,0
2009,CHN,0
2009,CIN,0
2009,CLE,0
2009,COL,0
2009,DET,1
2009,HOU,0
2009,KCA,1
2009,LAN,0
2009,MIA,1
2009,MIL,0
2009,MIN,1
2009,NYA,1
2009,NYN,0
2009,OAK,1
2009,PHI,1
2009,PIT,0
2009,SDN,0
2009,SEA,1
2009,SFN,1
2009,SLN,1
2009,TBA,0
2009,TEX,1
2009,TOR,0
2009,WAS,0
2010,ANA,0
2010,ARI,0
2010,ATL,1
2010,BAL,0
2010,BOS,0
2010,CHA,0
2010,CHN,0
2010,CIN,1
2010,CLE,0
2010,COL,1
2010,DET,1
2010,HOU,0
2010,KCA,0
2010,LAN,0
2010,MIA,0
2010,MIL,0
2010,MIN,1
2010,NYA,1
2010,NYN,0
2010,OAK,0
2010,PHI,1
2010,PIT,0
2010,SDN,0
2010,SEA,1
2010,SFN,1
2010,SLN,1
2010,TBA,1
2010,TEX,1
2010,TOR,0
2010,WAS,0
2011,ANA,1
2011,ARI,0
2011,ATL,1
2011,BAL,0
2011,BOS,1
2011,CHA,0
2011,CHN,0
2011,CIN,0
2011,CLE,0
2011,COL,0
2011,DET,1
2011,HOU,0
2011,KCA,1
2011,LAN,1
2011,MIA,0
2011,MIL,1
2011,MIN,0
2011,NYA,0
2011,NYN,0
2011,OAK,0
2011,PHI,1
2011,PIT,0
2011,SDN,0
2011,SEA,0
2011,SFN,0
2011,SLN,0
2011,TBA,1
2011,TEX,0
2011,TOR,1
2011,WAS,0
2012,ANA,1
2012,ARI,1
2012,ATL,0
2012,BAL,0
2012,BOS,0
2012,CHA,0
2012,CHN,0
2012,CIN,1
2012,CLE,0
2012,COL,0
2012,DET,1
2012,HOU,0
2012,KCA,0
2012,LAN,1
2012,MIA,0
2012,MIL,1
2012,MIN,0
2012,NYA,0
2012,NYN,1
2012,OAK,1
2012,PHI,0
2012,PIT,1
2012,SDN,0
2012,SEA,0
2012,SFN,1
2012,SLN,0
2012,TBA,1
2012,TEX,1
2012,TOR,0
2012,WAS,1
2013,ANA,1
2013,ARI,1
2013,ATL,0
2013,BAL,1
2013,BOS,1
2013,CHA,0
2013,CHN,0
2013,CIN,0
2013,CLE,0
2013,COL,0
2013,DET,1
2013,HOU,0
2013,KCA,0
2013,LAN,1
2013,MIA,1
2013,MIL,0
2013,MIN,0
2013,NYA,0
2013,NYN,0
2013,OAK,0
2013,PHI,0
2013,PIT,1
2013,SDN,0
2013,SEA,1
2013,SFN,0
2013,SLN,1
2013,TBA,1
2013,TEX,1
2013,TOR,0
2013,WAS,0
2014,ANA,1
2014,ARI,0
2014,ATL,0
2014,BAL,0
2014,BOS,0
2014,CHA,1
2014,CHN,0
2014,CIN,1
2014,CLE,1
2014,COL,0
2014,DET,1
2014,HOU,0
2014,KCA,0
2014,LAN,1
2014,MIA,1
2014,MIL,0
2014,MIN,0
2014,NYA,1
2014,NYN,1
2014,OAK,0
2014,PHI,0
2014,PIT,1
2014,SDN,0
2014,SEA,1
2014,SFN,0
2014,SLN,1
2014,TBA,0
2014,TEX,0
2014,TOR,0
2014,WAS,0
2015,ANA,1
2015,ARI,1
2015,ATL,0
2015,BAL,0
2015,BOS,0
2015,CHA,0
2015,CHN,1
2015,CIN,1
2015,CLE,1
2015,COL,0
2015,DET,1
2015,HOU,1
2015,KCA,1
2015,LAN,1
2015,MIA,0
2015,MIL,0
2015,MIN,1
2015,NYA,0
2015,NYN,0
2015,OAK,1
2015,PHI,0
2015,PIT,1
2015,SDN,0
2015,SEA,0
2015,SFN,1
2015,SLN,0
2015,TBA,0
2015,TEX,0
2015,TOR,1
2015,WAS,1
2016,ANA,1
2016,ARI,0
2016,ATL,0
2016,BAL,0
2016,BOS,1
2016,CHA,0
2016,CHN,1
2016,CIN,0
2016,CLE,1
2016,COL,0
2016,DET,1
2016,HOU,1
2016,KCA,0
2016,LAN,1
2016,MIA,0
2016,MIL,0
2016,MIN,0
2016,NYA,1
2016,NYN,0
2016,OAK,0
2016,PHI,0
2016,PIT,0
2016,SDN,0
2016,SEA,0
2016,SFN,0
2016,SLN,0
2016,TBA,0
2016,TEX,0
2016,TOR,0
2016,WAS,1